edge_id,u,v,key,osm_length_m,osm_time_s,speed_kph,highway,oneway,u_lat,u_lon,v_lat,v_lon
7509933977_2317306668_0,7509933977,2317306668,0,231.87097871402514,40.427550622379,20.647689768976896,residential,False,-6.8657968,107.5858451,-6.8654579,107.5837727
1438388885_1667734212_0,1438388885,1667734212,0,197.1583938678922,34.37528488009539,20.647689768976896,residential,False,-6.9267892,107.6399026,-6.9270033,107.6381421
4161973266_4161973280_0,4161973266,4161973280,0,90.62113968260533,15.800126140385359,20.647689768976896,residential,False,-6.9560769,107.6693969,-6.9559944,107.6685801
5197936381_3443083768_0,5197936381,3443083768,0,56.53273375047726,9.85668826773556,20.647689768976896,residential,False,-6.8903173,107.625187,-6.889809,107.6251857
29377272_5504550388_0,29377272,5504550388,0,161.09057961719463,28.086729949480265,20.647689768976896,residential,False,-6.9115918,107.5718363,-6.9102396,107.572356
25773222_1849960309_0,25773222,1849960309,0,50.68167472720019,8.8365347919968,20.647689768976896,residential,False,-6.9015279,107.6275454,-6.9019397,107.6277221
5353648414_5353648411_0,5353648414,5353648411,0,157.0759786809256,27.386769637586998,20.647689768976896,residential,False,-6.9383679,107.6722412,-6.9369707,107.6724381
5463437276_5865368006_0,5463437276,5865368006,0,76.68267005357478,13.369903135974324,20.647689768976896,residential,False,-6.9280629,107.7117509,-6.9275132,107.7118385
5472190068_5472190068_1,5472190068,5472190068,1,97.68314763027485,17.031412976639967,20.647689768976896,residential,False,-6.8821839,107.6265039,-6.8821839,107.6265039
9342504380_5355867082_0,9342504380,5355867082,0,61.32453090139757,10.692155573585529,20.647689768976896,residential,False,-6.9086474,107.6874129,-6.9083585,107.6871246
2255972088_2255972096_0,2255972088,2255972096,0,121.93347720215766,21.2595463627754,20.647689768976896,residential,False,-6.9524307,107.6630402,-6.9525878,107.6641335
3445439295_3445439092_0,3445439295,3445439092,0,50.56787465884964,8.816693335124585,20.647689768976896,residential,False,-6.9388974,107.5754948,-6.9384538,107.5755957
5394844924_5394843541_0,5394844924,5394843541,0,68.87519650510545,12.008641653989054,20.647689768976896,residential,False,-6.9176374,107.6474949,-6.9170602,107.6477188
