statistic,route_ratio,route_confidence,log_stress
count,2079.0,2079.0,2079.0
mean,1.997489545351503,0.7632830232778173,0.5935412959896958
std,3.5366543985023933,0.3396265455837005,0.7886626056508189
min,0.13627842422648326,0.0014239962755605222,-2.0266394225708977
1%,0.177567400407929,0.0034497582729462344,-1.2326778273232213
5%,0.6359608369888272,0.015045166575549013,-0.19515488103760606
50%,1.0025829361510246,0.9509950635552094,0.44060977180724453
95%,8.152700716114271,0.9955221755622035,2.3018652143364533
99%,18.130437626477356,0.9995444617614013,3.1993250199725014
max,26.49998165523006,0.9995775834769667,3.659616640786173
