check,passed,actual,expected
google_required_columns,True,11,11
sample_required_columns,True,7,7
edge_id_matches_u_v_key,True,2100,2100
unique_directed_edge_time,True,2100,2100
complete_edge_time_grid,True,2100,2100
configured_time_labels,True,21,21
google_edges_match_sample,True,100,100
source_is_google,True,2100,2100
sha256:bandung_itb_rect_with_dynamic.graphml.xml.gz,True,57046d94c5bbd4e783e594bc3298b5c6592cd63bfa3a46ea6296d0d56b90c0f2,57046d94c5bbd4e783e594bc3298b5c6592cd63bfa3a46ea6296d0d56b90c0f2
sha256:full_dynamic_edges.csv.gz,True,016455eff7e217a6b2e10eee318d79e9adad638b85cbd62b5287ad3965f06a24,016455eff7e217a6b2e10eee318d79e9adad638b85cbd62b5287ad3965f06a24
sha256:google_edge_samples.csv,True,449f5c654cde0f363c38a6ba34bd03e28aa4f3e562ffecef0e22eaeba5dc819b,449f5c654cde0f363c38a6ba34bd03e28aa4f3e562ffecef0e22eaeba5dc819b
sha256:sampled_edges.csv,True,b0b11bc7d4bf64c39170fb84b91ea3cfa7aae96985b7958775af5ad3ecfa9984,b0b11bc7d4bf64c39170fb84b91ea3cfa7aae96985b7958775af5ad3ecfa9984
