highway,population_edge_count,sample_edge_count,population_share,sample_share,share_difference,representation_ratio
living_street,8973,17,0.15417790683688723,0.17,0.015822093163112783,1.1026223113785802
motorway,23,0,0.0003951957937421605,0.0,-0.0003951957937421605,0.0
motorway_link,55,0,0.0009450334198182099,0.0,-0.0009450334198182099,0.0
primary,1950,4,0.03350573033900926,0.04,0.006494269660990738,1.193825641025641
primary_link,151,0,0.002594546298046358,0.0,-0.002594546298046358,0.0
residential,38734,66,0.665544081513428,0.66,-0.005544081513428001,0.9916698507770951
secondary,1629,4,0.02799017165243389,0.04,0.012009828347566111,1.4290730509515042
secondary_link,44,0,0.000756026735854568,0.0,-0.000756026735854568,0.0
tertiary,4161,9,0.0714960738157013,0.09,0.01850392618429869,1.2588103821196825
tertiary_link,70,0,0.001202769807041358,0.0,-0.001202769807041358,0.0
trunk,675,0,0.011598137425041668,0.0,-0.011598137425041668,0.0
trunk_link,120,0,0.0020618910977851855,0.0,-0.0020618910977851855,0.0
unclassified,1614,0,0.027732435265210742,0.0,-0.027732435265210742,0.0
