timestamp_label,day_name,period,observations,unique_directed_edges,included_observations
mon_01,mon,night,100,100,79
mon_07,mon,am,100,100,79
mon_17,mon,pm,100,100,79
tue_01,tue,night,100,100,79
tue_07,tue,am,100,100,79
tue_17,tue,pm,100,100,79
wed_01,wed,night,100,100,79
wed_07,wed,am,100,100,80
wed_17,wed,pm,100,100,79
thu_01,thu,night,100,100,79
thu_07,thu,am,100,100,79
thu_17,thu,pm,100,100,79
fri_01,fri,night,100,100,79
fri_07,fri,am,100,100,80
fri_17,fri,pm,100,100,79
sat_01,sat,night,100,100,79
sat_07,sat,am,100,100,79
sat_17,sat,pm,100,100,79
sun_01,sun,night,100,100,79
sun_07,sun,am,100,100,79
sun_17,sun,pm,100,100,79
